ortho	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemlivres	Lexique3__islem
comprenez	comprendre	VER	614.8	0
compreniez	comprendre	VER	614.8	0
comprenions	comprendre	VER	614.8	0
comprenne	comprendre	VER	614.8	0
comprennent	comprendre	VER	614.8	0
comprennes	comprendre	VER	614.8	0
comprenons	comprendre	VER	614.8	0
compresse	compresse	NOM	2.03	1
compresse	compresser	VER	0.61	0
compresser	compresser	VER	0.61	1
compresses	compresse	NOM	2.03	0
compresseur	compresseur	NOM	0.14	1
compresseur	compresseur	ADJ	0.95	1
compresseurs	compresseur	ADJ	0.95	0
compresseurs	compresseur	NOM	0.14	0
compressible	compressible	ADJ	0.14	1
compressibles	compressible	ADJ	0.14	0
compressif	compressif	ADJ	0.0	1
compression	compression	NOM	0.74	1
compressions	compresser	VER	0.61	0
compressions	compression	NOM	0.74	0
compressé	compresser	VER	0.61	0
compressé	compressé	ADJ	0.68	1
compressée	compressé	ADJ	0.68	0
compressée	compresser	VER	0.61	0
compressées	compressé	ADJ	0.68	0
compressés	compressé	ADJ	0.68	0
compressés	compresser	VER	0.61	0
comprima	comprimer	VER	3.99	0
comprimait	comprimer	VER	3.99	0
comprimant	comprimant	ADJ	0.07	1
comprimant	comprimer	VER	3.99	0
comprime	comprimer	VER	3.99	0
compriment	comprimer	VER	3.99	0
comprimer	comprimer	VER	3.99	1
comprimez	comprimer	VER	3.99	0
comprimèrent	comprimer	VER	3.99	0
comprimé	comprimer	VER	3.99	0
comprimé	comprimé	NOM	3.99	1
comprimé	comprimé	ADJ	1.82	1
comprimée	comprimer	VER	3.99	0
comprimée	comprimé	ADJ	1.82	0
comprimées	comprimé	ADJ	1.82	0
comprimées	comprimer	VER	3.99	0
comprimés	comprimer	VER	3.99	0
comprimés	comprimé	ADJ	1.82	0
comprimés	comprimé	NOM	3.99	0
comprirent	comprendre	VER	614.8	0
compris	comprendre	VER	614.8	0
compris	compris	ADJ	11.01	1
comprise	compris	ADJ	11.01	0
comprise	comprendre	VER	614.8	0
comprises	comprendre	VER	614.8	0
comprises	compris	ADJ	11.01	0
comprisse	comprendre	VER	614.8	0
comprit	comprendre	VER	614.8	0
compromet	compromettre	VER	16.62	0
compromets	compromettre	VER	16.62	0
compromettaient	compromettre	VER	16.62	0
compromettait	compromettre	VER	16.62	0
compromettant	compromettant	ADJ	2.64	1
compromettant	compromettre	VER	16.62	0
compromettante	compromettant	ADJ	2.64	0
compromettantes	compromettant	ADJ	2.64	0
compromettants	compromettant	ADJ	2.64	0
compromette	compromettre	VER	16.62	0
compromettent	compromettre	VER	16.62	0
compromettes	compromettre	VER	16.62	0
compromettez	compromettre	VER	16.62	0
compromettiez	compromettre	VER	16.62	0
compromettrai	compromettre	VER	16.62	0
compromettrait	compromettre	VER	16.62	0
compromettre	compromettre	VER	16.62	1
compromettrons	compromettre	VER	16.62	0
compromirent	compromettre	VER	16.62	0
compromis	compromettre	VER	16.62	0
compromis	compromis	NOM	5.88	1
compromise	compromettre	VER	16.62	0
compromises	compromettre	VER	16.62	0
compromission	compromission	NOM	1.62	1
compromissions	compromission	NOM	1.62	0
compromissoire	compromissoire	ADJ	0.0	1
compromit	compromettre	VER	16.62	0
compromît	compromettre	VER	16.62	0
compréhensible	compréhensible	ADJ	3.04	1
compréhensibles	compréhensible	ADJ	3.04	0
compréhensif	compréhensif	ADJ	4.93	1
compréhensifs	compréhensif	ADJ	4.93	0
compréhension	compréhension	NOM	10.0	1
compréhensions	compréhension	NOM	10.0	0
compréhensive	compréhensif	ADJ	4.93	0
compréhensives	compréhensif	ADJ	4.93	0
comprîmes	comprendre	VER	614.8	0
comprît	comprendre	VER	614.8	0
compta	compter	VER	203.72	0
comptabilisait	comptabiliser	VER	1.28	0
comptabilisant	comptabiliser	VER	1.28	0
comptabilisation	comptabilisation	NOM	0.14	1
comptabilise	comptabiliser	VER	1.28	0
comptabiliser	comptabiliser	VER	1.28	1
comptabilisé	comptabiliser	VER	1.28	0
comptabilisées	comptabiliser	VER	1.28	0
comptabilisés	comptabiliser	VER	1.28	0
comptabilité	comptabilité	NOM	4.53	1
comptabilités	comptabilité	NOM	4.53	0
comptable	comptable	ADJ	2.77	1
comptable	comptable	NOM	4.26	1
comptables	comptable	ADJ	2.77	0
comptables	comptable	NOM	4.26	0
comptage	comptage	NOM	0.14	1
comptai	compter	VER	203.72	0
comptaient	compter	VER	203.72	0
comptais	compter	VER	203.72	0
comptait	compter	VER	203.72	0
comptant	compter	VER	203.72	0
comptant	comptant	NOM	0.34	1
comptant	comptant	ADJ	1.22	1
compte	compte	NOM	208.38	1
compte	compter	VER	203.72	0
compte-fils	compte-fils	NOM	0.34	1
compte-gouttes	compte-gouttes	NOM	1.42	1
compte-rendu	compte-rendu	NOM	0.14	1
compte-tours	compte-tours	NOM	0.41	1
comptent	compter	VER	203.72	0
compter	compter	VER	203.72	1
comptera	compter	VER	203.72	0
compterai	compter	VER	203.72	0
compteraient	compter	VER	203.72	0
compterais	compter	VER	203.72	0
compterait	compter	VER	203.72	0
compteras	compter	VER	203.72	0
compterez	compter	VER	203.72	0
compterons	compter	VER	203.72	0
compteront	compter	VER	203.72	0
comptes	compter	VER	203.72	0
comptes	compte	NOM	208.38	0
comptes-rendus	compte-rendu	NOM	0.14	0
compteur	compteur	NOM	5.95	1
compteurs	compteur	NOM	5.95	0
comptez	compter	VER	203.72	0
comptiez	compter	VER	203.72	0
comptine	comptine	NOM	1.76	1
comptines	comptine	NOM	1.76	0
comptions	compter	VER	203.72	0
comptoir	comptoir	NOM	41.55	1
comptoirs	comptoir	NOM	41.55	0
comptons	compter	VER	203.72	0
comptât	compter	VER	203.72	0
comptèrent	compter	VER	203.72	0
compté	compter	VER	203.72	0
comptée	compter	VER	203.72	0
comptées	compter	VER	203.72	0
comptés	compter	VER	203.72	0
compulsait	compulser	VER	1.69	0
compulsant	compulser	VER	1.69	0
compulse	compulser	VER	1.69	0
compulser	compulser	VER	1.69	1
compulsez	compulser	VER	1.69	0
compulsif	compulsif	ADJ	0.14	1
compulsifs	compulsif	ADJ	0.14	0
compulsion	compulsion	NOM	0.0	1
compulsive	compulsif	ADJ	0.14	0
compulsivement	compulsivement	ADV	0.0	1
compulsives	compulsif	ADJ	0.14	0
compulsoire	compulsoire	NOM	0.07	1
compulsons	compulser	VER	1.69	0
compulsé	compulser	VER	1.69	0
compulsés	compulser	VER	1.69	0
comput	comput	NOM	0.14	1
computations	computation	NOM	0.07	0
computer	computer	NOM	0.14	1
computers	computer	NOM	0.14	0
computeur	computeur	NOM	0.07	1
computeurs	computeur	NOM	0.07	0
compère	compère	NOM	3.85	1
compères	compère	NOM	3.85	0
compète	compéter	VER	0.07	0
compètes	compéter	VER	0.07	0
compétant	compéter	VER	0.07	0
compétence	compétence	NOM	5.07	1
compétences	compétence	NOM	5.07	0
compétent	compétent	ADJ	3.11	1
compétente	compétent	ADJ	3.11	0
compétentes	compétent	ADJ	3.11	0
compétents	compétent	ADJ	3.11	0
compétiteur	compétiteur	NOM	0.2	1
compétiteurs	compétiteur	NOM	0.2	0
compétitif	compétitif	ADJ	0.0	1
compétitifs	compétitif	ADJ	0.0	0
compétition	compétition	NOM	4.8	1
compétitions	compétition	NOM	4.8	0
compétitive	compétitif	ADJ	0.0	0
compétitivité	compétitivité	NOM	0.0	1
compétitrice	compétiteur	NOM	0.2	0
comtal	comtal	ADJ	0.2	1
comtale	comtal	ADJ	0.2	0
comte	comte	NOM	67.77	1
comtes	comte	NOM	67.77	0
comtesse	comte	NOM	67.77	0
comtesses	comte	NOM	67.77	0
comtois	comtois	NOM	0.27	1
comtois	comtois	ADJ	0.27	1
comtoise	comtois	NOM	0.27	0
comtoise	comtois	ADJ	0.27	0
comté	comté	NOM	2.36	1
comtés	comté	NOM	2.36	0
comète	comète	NOM	2.5	1
comètes	comète	NOM	2.5	0
comédie	comédie	NOM	29.73	1
comédien	comédien	ADJ	2.3	1
comédien	comédien	NOM	10.74	1
comédienne	comédien	NOM	10.74	0
comédienne	comédien	ADJ	2.3	0
comédiennes	comédien	ADJ	2.3	0
comédiennes	comédien	NOM	10.74	0
comédiens	comédien	NOM	10.74	0
comédiens	comédien	ADJ	2.3	0
comédies	comédie	NOM	29.73	0
comédons	comédon	NOM	0.07	0
con	con	PRO:per	4.59	1
con	con	ADJ	33.92	1
con	con	NOM	68.99	1
conard	conard	ADJ	0.14	1
conard	conard	NOM	0.47	1
conarde	conard	NOM	0.47	0
conarde	conard	ADJ	0.14	0
conards	conard	NOM	0.47	0
conasse	conasse	NOM	0.27	1
conasses	conasse	NOM	0.27	0
concassage	concassage	NOM	0.14	1
concassait	concasser	VER	1.76	0
concassant	concasser	VER	1.76	0
concasse	concasser	VER	1.76	0
concassent	concasser	VER	1.76	0
concasser	concasser	VER	1.76	1
concasseur	concasseur	NOM	0.68	1
concasseurs	concasseur	NOM	0.68	0
concassé	concasser	VER	1.76	0
concassée	concasser	VER	1.76	0
concassées	concasser	VER	1.76	0
concassés	concasser	VER	1.76	0
concaténation	concaténation	NOM	0.0	1
concave	concave	ADJ	1.22	1
concaves	concave	ADJ	1.22	0
concavité	concavité	NOM	0.34	1
concentra	concentrer	VER	18.92	0
concentrai	concentrer	VER	18.92	0
concentraient	concentrer	VER	18.92	0
concentrais	concentrer	VER	18.92	0
concentrait	concentrer	VER	18.92	0
concentrant	concentrer	VER	18.92	0
concentrateur	concentrateur	NOM	0.0	1
concentration	concentration	NOM	10.41	1
concentrationnaire	concentrationnaire	ADJ	0.61	1
concentrationnaires	concentrationnaire	ADJ	0.61	0
concentrations	concentration	NOM	10.41	0
concentre	concentrer	VER	18.92	0
concentrent	concentrer	VER	18.92	0
concentrer	concentrer	VER	18.92	1
concentrera	concentrer	VER	18.92	0
concentrerai	concentrer	VER	18.92	0
concentrerais	concentrer	VER	18.92	0
concentrerait	concentrer	VER	18.92	0
concentrerons	concentrer	VER	18.92	0
concentreront	concentrer	VER	18.92	0
concentres	concentrer	VER	18.92	0
concentrez	concentrer	VER	18.92	0
concentriez	concentrer	VER	18.92	0
concentrions	concentrer	VER	18.92	0
concentrique	concentrique	ADJ	4.12	1
concentriques	concentrique	ADJ	4.12	0
concentrons	concentrer	VER	18.92	0
concentré	concentré	ADJ	4.59	1
concentré	concentrer	VER	18.92	0
concentré	concentré	NOM	1.42	1
concentrée	concentré	ADJ	4.59	0
concentrée	concentrer	VER	18.92	0
concentrées	concentré	ADJ	4.59	0
concentrées	concentrer	VER	18.92	0
concentrés	concentré	ADJ	4.59	0
concentrés	concentrer	VER	18.92	0
concentrés	concentré	NOM	1.42	0
concept	concept	NOM	3.24	1
concepteur	concepteur	NOM	0.14	1
concepteur	concepteur	ADJ	0.0	1
concepteurs	concepteur	ADJ	0.0	0
concepteurs	concepteur	NOM	0.14	0
conception	conception	NOM	11.55	1
conceptions	conception	NOM	11.55	0
conceptrice	concepteur	NOM	0.14	0
concepts	concept	NOM	3.24	0
conceptualise	conceptualiser	VER	0.0	0
conceptualiser	conceptualiser	VER	0.0	1
conceptualisé	conceptualiser	VER	0.0	0
conceptuel	conceptuel	ADJ	0.14	1
conceptuelle	conceptuel	ADJ	0.14	0
conceptuellement	conceptuellement	ADV	0.0	1
conceptuelles	conceptuel	ADJ	0.14	0
conceptuels	conceptuel	ADJ	0.14	0
concernaient	concerner	VER	50.47	0
concernait	concerner	VER	50.47	0
concernant	concernant	PRE	14.26	1
concernant	concerner	VER	50.47	0
concerne	concerner	VER	50.47	0
concernent	concerner	VER	50.47	0
concerner	concerner	VER	50.47	1
concernera	concerner	VER	50.47	0
concerneraient	concerner	VER	50.47	0
concernerait	concerner	VER	50.47	0
concernât	concerner	VER	50.47	0
concernèrent	concerner	VER	50.47	0
concerné	concerner	VER	50.47	0
concernée	concerner	VER	50.47	0
concernées	concerner	VER	50.47	0
concernés	concerner	VER	50.47	0
concert	concert	NOM	30.14	1
concertaient	concerter	VER	3.78	0
concertait	concerter	VER	3.78	0
concertant	concerter	VER	3.78	0
concertation	concertation	NOM	0.07	1
concertations	concertation	NOM	0.07	0
concerte	concerter	VER	3.78	0
concertent	concerter	VER	3.78	0
concerter	concerter	VER	3.78	1
concertez	concerter	VER	3.78	0
concertina	concertina	NOM	0.0	1
concertiste	concertiste	NOM	0.0	1
concerto	concerto	NOM	2.77	1
concertons	concerter	VER	3.78	0
concertos	concerto	NOM	2.77	0
concerts	concert	NOM	30.14	0
concertèrent	concerter	VER	3.78	0
concerté	concerté	ADJ	1.15	1
concerté	concerter	VER	3.78	0
concertée	concerter	VER	3.78	0
concertée	concerté	ADJ	1.15	0
concertées	concerter	VER	3.78	0
concertées	concerté	ADJ	1.15	0
concertés	concerter	VER	3.78	0
concertés	concerté	ADJ	1.15	0
concession	concession	NOM	14.12	1
concessionnaire	concessionnaire	NOM	0.95	1
concessionnaire	concessionnaire	ADJ	0.27	1
concessionnaires	concessionnaire	ADJ	0.27	0
concessionnaires	concessionnaire	NOM	0.95	0
concessions	concession	NOM	14.12	0
concetto	concetto	NOM	0.07	1
concevable	concevable	ADJ	2.77	1
concevables	concevable	ADJ	2.77	0
concevaient	concevoir	VER	27.84	0
concevais	concevoir	VER	27.84	0
concevait	concevoir	VER	27.84	0
concevant	concevoir	VER	27.84	0
concevez	concevoir	VER	27.84	0
conceviez	concevoir	VER	27.84	0
concevions	concevoir	VER	27.84	0
concevoir	concevoir	VER	27.84	1
concevons	concevoir	VER	27.84	0
concevrais	concevoir	VER	27.84	0
concevrait	concevoir	VER	27.84	0
conchiaient	conchier	VER	0.54	0
conchie	conchier	VER	0.54	0
conchier	conchier	VER	0.54	1
conchié	conchier	VER	0.54	0
conchoïdaux	conchoïdal	ADJ	0.0	0
concierge	concierge	NOM	29.05	1
conciergerie	conciergerie	NOM	0.74	1
conciergeries	conciergerie	NOM	0.74	0
concierges	concierge	NOM	29.05	0
concile	concile	NOM	3.11	1
conciles	concile	NOM	3.11	0
conciliable	conciliable	ADJ	0.34	1
conciliables	conciliable	ADJ	0.34	0
conciliabule	conciliabule	NOM	3.58	1
conciliabules	conciliabule	NOM	3.58	0
conciliaient	concilier	VER	5.0	0
conciliaires	conciliaire	ADJ	0.07	0
conciliait	concilier	VER	5.0	0
conciliant	conciliant	ADJ	3.85	1
conciliant	concilier	VER	5.0	0
conciliante	conciliant	ADJ	3.85	0
conciliantes	conciliant	ADJ	3.85	0
conciliants	conciliant	ADJ	3.85	0
conciliateur	conciliateur	ADJ	0.14	1
conciliateur	conciliateur	NOM	0.14	1
conciliateurs	conciliateur	NOM	0.14	0
conciliateurs	conciliateur	ADJ	0.14	0
conciliation	conciliation	NOM	1.82	1
conciliations	conciliation	NOM	1.82	0
conciliatrice	conciliateur	NOM	0.14	0
concilie	concilier	VER	5.0	0
concilier	concilier	VER	5.0	1
concilierait	concilier	VER	5.0	0
concilies	concilier	VER	5.0	0
concilié	concilier	VER	5.0	0
conciliées	concilier	VER	5.0	0
conciliés	concilier	VER	5.0	0
concis	concis	ADJ	0.68	1
concise	concis	ADJ	0.68	0
concision	concision	NOM	0.61	1
concitoyen	concitoyen	NOM	1.62	1
concitoyenne	concitoyen	NOM	1.62	0
concitoyennes	concitoyen	NOM	1.62	0
concitoyens	concitoyen	NOM	1.62	0
conclave	conclave	NOM	0.47	1
conclaviste	conclaviste	NOM	0.07	1
conclu	conclure	VER	51.76	0
concluaient	conclure	VER	51.76	0
concluais	conclure	VER	51.76	0
concluait	conclure	VER	51.76	0
concluant	conclure	VER	51.76	0
concluant	concluant	ADJ	0.95	1
concluante	concluant	ADJ	0.95	0
concluantes	concluant	ADJ	0.95	0
concluants	concluant	ADJ	0.95	0
conclue	conclure	VER	51.76	0
concluent	conclure	VER	51.76	0
conclues	conclure	VER	51.76	0
concluez	conclure	VER	51.76	0
concluions	conclure	VER	51.76	0
concluons	conclure	VER	51.76	0
conclura	conclure	VER	51.76	0
conclurai	conclure	VER	51.76	0
conclurais	conclure	VER	51.76	0
conclurait	conclure	VER	51.76	0
conclure	conclure	VER	51.76	1
conclurent	conclure	VER	51.76	0
conclurez	conclure	VER	51.76	0
conclurions	conclure	VER	51.76	0
conclurons	conclure	VER	51.76	0
concluront	conclure	VER	51.76	0
conclus	conclure	VER	51.76	0
conclusion	conclusion	NOM	20.68	1
conclusions	conclusion	NOM	20.68	0
conclusive	conclusif	ADJ	0.0	0
conclut	conclure	VER	51.76	0
conclûmes	conclure	VER	51.76	0
conclût	conclure	VER	51.76	0
concocta	concocter	VER	1.01	0
concoctait	concocter	VER	1.01	0
concoctent	concocter	VER	1.01	0
concocter	concocter	VER	1.01	1
concocteras	concocter	VER	1.01	0
concoction	concoction	NOM	0.2	1
concocté	concocter	VER	1.01	0
concoctée	concocter	VER	1.01	0
concoctés	concocter	VER	1.01	0
concombre	concombre	NOM	4.12	1
concombres	concombre	NOM	4.12	0
concomitance	concomitance	NOM	0.07	1
concomitant	concomitant	ADJ	0.41	1
concomitante	concomitant	ADJ	0.41	0
concomitantes	concomitant	ADJ	0.41	0
concordaient	concorder	VER	0.81	0
concordait	concorder	VER	0.81	0
concordance	concordance	NOM	0.54	1
concordant	concorder	VER	0.81	0
concordant	concordant	ADJ	0.14	1
concordante	concordant	ADJ	0.14	0
concordantes	concordant	ADJ	0.14	0
concordants	concordant	ADJ	0.14	0
concordat	concordat	NOM	0.07	1
concorde	concorder	VER	0.81	0
concorde	concorde	NOM	1.22	1
concordent	concorder	VER	0.81	0
concorder	concorder	VER	0.81	1
concordez	concorder	VER	0.81	0
concordistes	concordiste	NOM	0.07	0
concouraient	concourir	VER	3.72	0
concourait	concourir	VER	3.72	0
concourant	concourant	ADJ	0.0	1
concourant	concourir	VER	3.72	0
concoure	concourir	VER	3.72	0
concourent	concourir	VER	3.72	0
concourez	concourir	VER	3.72	0
concourir	concourir	VER	3.72	1
concourrai	concourir	VER	3.72	0
concourrait	concourir	VER	3.72	0
concourront	concourir	VER	3.72	0
concours	concours	NOM	31.69	1
concours	concourir	VER	3.72	0
concourt	concourir	VER	3.72	0
concouru	concourir	VER	3.72	0
concourût	concourir	VER	3.72	0
concret	concret	NOM	0.74	1
concret	concret	ADJ	7.09	1
concrets	concret	ADJ	7.09	0
concrets	concret	NOM	0.74	0
concrète	concréter	VER	0.14	0
concrète	concret	ADJ	7.09	0
concrètement	concrètement	ADV	1.15	1
concrètes	concret	ADJ	7.09	0
concrétion	concrétion	NOM	0.81	1
concrétions	concrétion	NOM	0.81	0
concrétisant	concrétiser	VER	1.35	0
concrétisation	concrétisation	NOM	0.07	1
concrétise	concrétiser	VER	1.35	0
concrétisent	concrétiser	VER	1.35	0
concrétiser	concrétiser	VER	1.35	1
concrétisèrent	concrétiser	VER	1.35	0
concrétisé	concrétiser	VER	1.35	0
concrétisée	concrétiser	VER	1.35	0
concrétisées	concrétiser	VER	1.35	0
concrétisés	concrétiser	VER	1.35	0
concubin	concubin	NOM	2.84	1
concubinage	concubinage	NOM	0.68	1
concubinages	concubinage	NOM	0.68	0
concubinait	concubiner	VER	0.07	0
concubine	concubin	NOM	2.84	0
concubines	concubin	NOM	2.84	0
concubins	concubin	NOM	2.84	0
concupiscence	concupiscence	NOM	2.09	1
concupiscences	concupiscence	NOM	2.09	0
concupiscent	concupiscent	ADJ	0.54	1
concupiscente	concupiscent	ADJ	0.54	0
concupiscentes	concupiscent	ADJ	0.54	0
concupiscents	concupiscent	ADJ	0.54	0
concurremment	concurremment	ADV	0.41	1
concurrence	concurrence	NOM	5.0	1
concurrence	concurrencer	VER	0.74	0
concurrencer	concurrencer	VER	0.74	1
concurrences	concurrence	NOM	5.0	0
concurrencé	concurrencer	VER	0.74	0
concurrencée	concurrencer	VER	0.74	0
concurrent	concurrent	ADJ	1.62	1
concurrent	concurrent	NOM	3.51	1
concurrente	concurrent	ADJ	1.62	0
concurrentes	concurrent	ADJ	1.62	0
concurrentiel	concurrentiel	ADJ	0.14	1
concurrentielle	concurrentiel	ADJ	0.14	0
concurrentiels	concurrentiel	ADJ	0.14	0
concurrents	concurrent	ADJ	1.62	0
concurrents	concurrent	NOM	3.51	0
concurrençait	concurrencer	VER	0.74	0
concussion	concussion	NOM	0.2	1
concussionnaire	concussionnaire	ADJ	0.07	1
concède	concéder	VER	5.74	0
concèdes	concéder	VER	5.74	0
concéda	concéder	VER	5.74	0
concédai	concéder	VER	5.74	0
concédaient	concéder	VER	5.74	0
concédais	concéder	VER	5.74	0
concédait	concéder	VER	5.74	0
concédant	concédant	NOM	0.07	1
concéder	concéder	VER	5.74	1
concéderait	concéder	VER	5.74	0
concédez	concéder	VER	5.74	0
concédons	concéder	VER	5.74	0
concédât	concéder	VER	5.74	0
concédé	concéder	VER	5.74	0
concédée	concéder	VER	5.74	0
concédés	concéder	VER	5.74	0
concélèbrent	concélébrer	VER	0.0	0
condamna	condamner	VER	44.59	0
condamnable	condamnable	ADJ	0.88	1
condamnables	condamnable	ADJ	0.88	0
condamnai	condamner	VER	44.59	0
condamnaient	condamner	VER	44.59	0
condamnais	condamner	VER	44.59	0
condamnait	condamner	VER	44.59	0
condamnant	condamner	VER	44.59	0
condamnation	condamnation	NOM	8.85	1
condamnations	condamnation	NOM	8.85	0
condamne	condamner	VER	44.59	0
condamnent	condamner	VER	44.59	0
condamner	condamner	VER	44.59	1
condamnera	condamner	VER	44.59	0
condamnerai	condamner	VER	44.59	0
condamneraient	condamner	VER	44.59	0
condamnerais	condamner	VER	44.59	0
condamnerait	condamner	VER	44.59	0
condamneras	condamner	VER	44.59	0
condamnerons	condamner	VER	44.59	0
condamneront	condamner	VER	44.59	0
condamnes	condamner	VER	44.59	0
condamnez	condamner	VER	44.59	0
condamniez	condamner	VER	44.59	0
condamnions	condamner	VER	44.59	0
condamnons	condamner	VER	44.59	0
condamnât	condamner	VER	44.59	0
condamnèrent	condamner	VER	44.59	0
condamné	condamné	NOM	9.93	1
condamné	condamner	VER	44.59	0
condamné	condamné	ADJ	5.95	1
condamnée	condamné	ADJ	5.95	0
condamnée	condamné	NOM	9.93	0
condamnée	condamner	VER	44.59	0
condamnées	condamné	ADJ	5.95	0
condamnées	condamné	NOM	9.93	0
condamnées	condamner	VER	44.59	0
condamnés	condamné	ADJ	5.95	0
condamnés	condamné	NOM	9.93	0
condamnés	condamner	VER	44.59	0
condensa	condenser	VER	2.7	0
condensaient	condenser	VER	2.7	0
condensait	condenser	VER	2.7	0
condensant	condenser	VER	2.7	0
condensateur	condensateur	NOM	0.07	1
condensateurs	condensateur	NOM	0.07	0
condensation	condensation	NOM	1.22	1
condense	condenser	VER	2.7	0
condensent	condenser	VER	2.7	0
condenser	condenser	VER	2.7	1
condensera	condenser	VER	2.7	0
condenseur	condenseur	NOM	0.0	1
condensèrent	condenser	VER	2.7	0
condensé	condensé	ADJ	1.15	1
condensé	condensé	NOM	0.34	1
condensé	condenser	VER	2.7	0
condensée	condensé	ADJ	1.15	0
condensées	condenser	VER	2.7	0
condensés	condenser	VER	2.7	0
condensés	condensé	ADJ	1.15	0
condescend	condescendre	VER	1.01	0
condescendait	condescendre	VER	1.01	0
condescendance	condescendance	NOM	4.53	1
condescendant	condescendre	VER	1.01	0
condescendant	condescendant	ADJ	2.09	1
condescendante	condescendant	ADJ	2.09	0
condescendants	condescendant	ADJ	2.09	0
condescendit	condescendre	VER	1.01	0
condescendrais	condescendre	VER	1.01	0
condescendre	condescendre	VER	1.01	1
condescendu	condescendre	VER	1.01	0
condiment	condiment	NOM	0.61	1
condiments	condiment	NOM	0.61	0
condisciple	condisciple	NOM	3.11	1
condisciples	condisciple	NOM	3.11	0
condition	condition	NOM	91.62	1
conditionnait	conditionner	VER	1.55	0
conditionnant	conditionner	VER	1.55	0
conditionne	conditionner	VER	1.55	0
conditionnel	conditionnel	NOM	0.81	1
conditionnelle	conditionnel	ADJ	0.74	0
conditionnellement	conditionnellement	ADV	0.07	1
conditionnelles	conditionnel	ADJ	0.74	0
conditionnels	conditionnel	ADJ	0.74	0
conditionnels	conditionnel	NOM	0.81	0
conditionnement	conditionnement	NOM	0.95	1
conditionnements	conditionnement	NOM	0.95	0
conditionnent	conditionner	VER	1.55	0
conditionner	conditionner	VER	1.55	1
conditionnerons	conditionner	VER	1.55	0
conditionneur	conditionneur	NOM	0.14	1
conditionneurs	conditionneur	NOM	0.14	0
conditionnons	conditionner	VER	1.55	0
conditionné	conditionné	ADJ	1.82	1
conditionné	conditionner	VER	1.55	0
conditionnée	conditionner	VER	1.55	0
conditionnée	conditionné	ADJ	1.82	0
conditionnées	conditionner	VER	1.55	0
conditionnées	conditionné	ADJ	1.82	0
conditionnés	conditionné	ADJ	1.82	0
conditionnés	conditionner	VER	1.55	0
conditions	condition	NOM	91.62	0
condo	condo	NOM	0.0	1
condoléance	condoléance	NOM	4.32	1
condoléances	condoléance	NOM	4.32	0
condoléants	condoléant	ADJ	0.07	0
condom	condom	NOM	0.0	1
condominium	condominium	NOM	0.14	1
condor	condor	NOM	0.61	1
condors	condor	NOM	0.61	0
condos	condo	NOM	0.0	0
condottiere	condottiere	NOM	0.61	1
condottieres	condottiere	NOM	0.61	0
condottieri	condottieri	NOM	0.07	1
conductance	conductance	NOM	0.0	1
conducteur	conducteur	ADJ	0.88	1
conducteur	conducteur	NOM	15.14	1
conducteurs	conducteur	NOM	15.14	0
conducteurs	conducteur	ADJ	0.88	0
conductibilité	conductibilité	NOM	0.0	1
conduction	conduction	NOM	0.0	1
conductivité	conductivité	NOM	0.0	1
conductrice	conducteur	ADJ	0.88	0
conductrice	conducteur	NOM	15.14	0
conductrices	conducteur	NOM	15.14	0
conductrices	conducteur	ADJ	0.88	0
conduira	conduire	VER	144.66	0
conduirai	conduire	VER	144.66	0
conduiraient	conduire	VER	144.66	0
conduirais	conduire	VER	144.66	0
conduirait	conduire	VER	144.66	0
conduiras	conduire	VER	144.66	0
conduire	conduire	VER	144.66	1
conduirez	conduire	VER	144.66	0
conduiriez	conduire	VER	144.66	0
conduirons	conduire	VER	144.66	0
conduiront	conduire	VER	144.66	0
conduis	conduire	VER	144.66	0
conduisaient	conduire	VER	144.66	0
conduisais	conduire	VER	144.66	0
conduisait	conduire	VER	144.66	0
conduisant	conduire	VER	144.66	0
conduise	conduire	VER	144.66	0
conduisent	conduire	VER	144.66	0
conduises	conduire	VER	144.66	0
conduisez	conduire	VER	144.66	0
conduisiez	conduire	VER	144.66	0
conduisions	conduire	VER	144.66	0
conduisirent	conduire	VER	144.66	0
conduisis	conduire	VER	144.66	0
conduisit	conduire	VER	144.66	0
conduisons	conduire	VER	144.66	0
conduisît	conduire	VER	144.66	0
conduit	conduit	NOM	4.05	1
conduit	conduire	VER	144.66	0
conduite	conduite	NOM	26.76	1
conduite	conduire	VER	144.66	0
conduite	conduit	ADJ	1.49	0
conduite-intérieure	conduite-intérieure	NOM	0.27	1
conduites	conduit	ADJ	1.49	0
conduites	conduire	VER	144.66	0
conduites	conduite	NOM	26.76	0
conduits	conduire	VER	144.66	0
conduits	conduit	NOM	4.05	0
condyle	condyle	NOM	0.14	1
condyles	condyle	NOM	0.14	0
condé	condé	NOM	6.49	1
condés	condé	NOM	6.49	0
confabulaient	confabuler	VER	0.14	0
confection	confection	NOM	3.51	1
confectionna	confectionner	VER	10.0	0
confectionnai	confectionner	VER	10.0	0
confectionnaient	confectionner	VER	10.0	0
confectionnais	confectionner	VER	10.0	0
confectionnait	confectionner	VER	10.0	0
confectionne	confectionner	VER	10.0	0
confectionner	confectionner	VER	10.0	1
confectionnerai	confectionner	VER	10.0	0
confectionnerais	confectionner	VER	10.0	0
confectionnerait	confectionner	VER	10.0	0
confectionneur	confectionneur	NOM	0.47	1
confectionneurs	confectionneur	NOM	0.47	0
